Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes,PhantomMidgePresence_YesNo,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,A,2,76,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,B,1,41,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:02,B_pel_16Jun21_noon_epi_rep1,4,1000,C,1,79,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,A,1,73,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,B,1,103,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:07,B_pel_16Jun21_noon_epi_rep2,4,1000,C,1,57,3-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,A,1,54,9-Sep-21,80,HLW,Daphnia have helmets!,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,B,1,53,9-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:20,B_pel_16Jun21_noon_rep1,10,2000,C,1,69,9-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,A,1,50,9-Sep-21,80,HLW,"x1 ostracod + x1 something really weird - macroinvert????, also got some emergent vegetation so maybe that's why",,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,B,1,32,9-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:27,B_pel_16Jun21_noon_rep2,10,2000,C,1,37,9-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,A,1,32,16-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,B,1,47,16-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:35,B_pel_16Jun21_noon_oxy_rep1,6.8,2000,C,1,44,16-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,A,1,33,17-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,B,1,25,17-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,C,1,29,17-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,12:42,B_pel_16Jun21_noon_oxy_rep2,6.8,2000,D,1,33,17-Sep-21,80,HLW,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:32,F10Jun21_midnight_epi_rep1,4.4,2000,A,1,28,7-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:32,F10Jun21_midnight_epi_rep1,4.4,2000,B,2,64,7-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:32,F10Jun21_midnight_epi_rep1,4.4,2000,C,1,23,7-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:40,F10Jun21_midnight_epi_rep2,4.4,2000,A,2,52,8-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:40,F10Jun21_midnight_epi_rep2,4.4,2000,B,1,34,8-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:40,F10Jun21_midnight_epi_rep2,4.4,2000,C,1,47,8-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:22,F10Jun21_midnight_rep2,9,2000,A,2,49,10-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:22,F10Jun21_midnight_rep2,9,2000,B,1,22,10-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:22,F10Jun21_midnight_rep2,9,2000,C,1,27,10-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F10Jun21_midnight_rep1,9,2000,A,2,46,13-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F10Jun21_midnight_rep1,9,2000,B,2,99,13-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F10Jun21_midnight_rep1,9,2000,C,1,18,13-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:38,F10Jun21_noon_rep2,9,2000,A,2,111,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:38,F10Jun21_noon_rep2,9,2000,B,1,45,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:38,F10Jun21_noon_rep2,9,2000,C,1,77,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:50,F10Jun21_noon_epi_rep2,4.3,2000,A,1,74,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:50,F10Jun21_noon_epi_rep2,4.3,2000,B,1,29,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:50,F10Jun21_noon_epi_rep2,4.3,2000,C,1,55,14-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:15,F10Jun21_noon_rep1,9,2000,A,1,58,20-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:15,F10Jun21_noon_rep1,9,2000,B,1,56,20-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:15,F10Jun21_noon_rep1,9,2000,C,1,36,20-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:24,F10Jun21_noon_epi_rep1,4.3,2000,A,1,36,21-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:24,F10Jun21_noon_epi_rep1,4.3,2000,B,1,28,21-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:24,F10Jun21_noon_epi_rep1,4.3,2000,C,1,112,21-Sep-21,80,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_0.1_rep1,0.1,300,A,1,10,22-Sep-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_0.1_rep1,0.1,300,B,5,39,22-Sep-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_0.1_rep1,0.1,300,C,5,53,22-Sep-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:54,F_pel_10Jun21_noon_schind_0.1_rep2,0.1,300,A,1,12,4-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:54,F_pel_10Jun21_noon_schind_0.1_rep2,0.1,300,B,5,57,4-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:54,F_pel_10Jun21_noon_schind_0.1_rep2,0.1,300,C,4,40,4-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:50,F_pel_10Jun21_midnight_schind_0.1_rep1,0.1,300,A,3,70,5-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:50,F_pel_10Jun21_midnight_schind_0.1_rep1,0.1,300,B,1,19,5-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:50,F_pel_10Jun21_midnight_schind_0.1_rep1,0.1,300,C,1,27,5-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:41,F_pel_10Jun21_midnight_schind_0.1_rep2,0.1,500,A,3,41,7-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:41,F_pel_10Jun21_midnight_schind_0.1_rep2,0.1,500,B,3,32,7-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:41,F_pel_10Jun21_midnight_schind_0.1_rep2,0.1,500,C,3,33,7-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_1.0_rep1,1,300,A,3,87,11-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_1.0_rep1,1,500,B,1,8,11-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:00,F_pel_10Jun21_noon_schind_1.0_rep1,1,500,C,1,15,11-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:05,F_pel_10Jun21_noon_schind_1.0_rep2,1,300,A,1,12,12-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:05,F_pel_10Jun21_noon_schind_1.0_rep2,1,300,B,4,63,12-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:05,F_pel_10Jun21_noon_schind_1.0_rep2,1,300,C,2,30,12-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:54,F_pel_10Jun21_midnight_schind_1.0_rep1,1,500,A,3,29,14-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:54,F_pel_10Jun21_midnight_schind_1.0_rep1,1,500,B,3,48,14-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:54,F_pel_10Jun21_midnight_schind_1.0_rep1,1,500,C,3,40,14-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:47,F_pel_11Jun21_midnight_schind_1.0_rep2,1,500,A,1,18,20-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:47,F_pel_11Jun21_midnight_schind_1.0_rep2,1,500,B,3,27,20-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:47,F_pel_11Jun21_midnight_schind_1.0_rep2,1,500,C,4,45,20-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:47,F_pel_11Jun21_midnight_schind_1.0_rep2,1,500,D,1,16,20-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:55,B_pel_15Jun21_noon_epi_rep1,4,2000,A,1,25,21-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:55,B_pel_15Jun21_noon_epi_rep1,4,2000,B,1,19,21-Oct-21,80,HLW,x1 ostracod,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:55,B_pel_15Jun21_noon_epi_rep1,4,2000,C,3,96,21-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:35,B_pel_15Jun21_noon_epi_rep2,4,2000,A,2,91,21-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:35,B_pel_15Jun21_noon_epi_rep2,4,2000,B,1,44,21-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,15-Jun-21,12:35,B_pel_15Jun21_noon_epi_rep2,4,2000,C,1,40,21-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:09,F_pel_10Jun21_noon_schind_2.0_rep1,2,500,A,3,54,25-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:09,F_pel_10Jun21_noon_schind_2.0_rep1,2,500,B,1,32,25-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:09,F_pel_10Jun21_noon_schind_2.0_rep1,2,500,C,1,24,25-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,13:08,F_pel_10Jun21_noon_schind_2.0_rep2,2,500,A,3,32,26-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,13:08,F_pel_10Jun21_noon_schind_2.0_rep2,2,500,B,3,55,26-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,13:08,F_pel_10Jun21_noon_schind_2.0_rep2,2,500,C,1,11,26-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:59,F_pel_11Jun21_midnight_schind_2.0_rep1,2,500,A,1,21,27-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:59,F_pel_11Jun21_midnight_schind_2.0_rep1,2,500,B,2,34,27-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,23:59,F_pel_11Jun21_midnight_schind_2.0_rep1,2,500,C,3,52,27-Oct-21,61,CEB,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:10,B_pel_16Jun21_midnight_rep1,10,2000,A,1,137,28-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:10,B_pel_16Jun21_midnight_rep1,10,2000,B,1,147,28-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:10,B_pel_16Jun21_midnight_rep1,10,2000,C,1,100,28-Oct-21,80,HLW,x1 ostracod,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:15,B_pel_16Jun21_midnight_rep2,10,2000,A,1,77,28-Oct-21,80,HLW,x1 ostracod,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:15,B_pel_16Jun21_midnight_rep2,10,2000,B,1,59,28-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,BVR_50,16-Jun-21,0:15,B_pel_16Jun21_midnight_rep2,10,2000,C,1,39,28-Oct-21,80,HLW,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:52,F_pel_11Jun21_midnight_schind_2.0_rep2,2,500,A,2,46,1-Nov-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:52,F_pel_11Jun21_midnight_schind_2.0_rep2,2,500,B,2,23,1-Nov-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,11-Jun-21,0:52,F_pel_11Jun21_midnight_schind_2.0_rep2,2,500,C,2,47,1-Nov-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F_pel_10Jun21_noon_schind_3.0_rep1,3,500,A,2,15,2-Nov-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F_pel_10Jun21_noon_schind_3.0_rep1,3,500,B,5,43,2-Nov-21,61,CEB,,,,,,,,,,,,,
FCR2021,FCR_50,10-Jun-21,12:13,F_pel_10Jun21_noon_schind_3.0_rep1,3,500,C,5,53,2-Nov-21,61,CEB,,,,,,,,,,,,,