Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes,PhantomMidgePresence_YesNo
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,8.4,1000,A,1,32,13-May-25,80,HLW,x3 ostracods,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,8.4,1000,B,2,83,13-May-25,80,HLW,x2 ostracods; x1 chaoborus,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,8.4,1000,C,2,110,13-May-25,80,HLW,"x2 ostracods, x1 little round worm",
BVR_2022,BVR_50,18-Aug-22,10:52,B18Aug22_6.5m,6.5,1000,A,1,136,14-May-25,80,HLW,,
BVR_2022,BVR_50,18-Aug-22,10:52,B18Aug22_6.5m,6.5,1000,B,1,97,14-May-25,80,HLW,,
BVR_2022,BVR_50,18-Aug-22,10:52,B18Aug22_6.5m,6.5,1000,C,1,76,14-May-25,80,HLW,,
BVR_2022,BVR_50,16-Nov-22,11:10,B16Nov22_8m,8,1000,A,1,93,15-May-25,80,HLW,,
BVR_2022,BVR_50,16-Nov-22,11:10,B16Nov22_8m,8,1000,B,1,72,15-May-25,80,HLW,,
BVR_2022,BVR_50,16-Nov-22,11:10,B16Nov22_8m,8,1000,C,1,44,15-May-25,80,HLW,,
BVR_2023,BVR_50,24-Apr-23,11:18,B24Apr23_9m,9,1000,A,1,170,16-May-25,80,HLW,,
BVR_2023,BVR_50,24-Apr-23,11:18,B24Apr23_9m,9,1000,B,1,144,16-May-25,80,HLW,,
BVR_2023,BVR_50,24-Apr-23,11:18,B24Apr23_9m,9,1000,C,1,140,16-May-25,80,HLW,,
BVR_2023,BVR_50,22-May-23,10:55,B22May23_10m,10,1000,A,1,76,16-May-25,80,HLW,,
BVR_2023,BVR_50,22-May-23,10:55,B22May23_10m,10,1000,B,1,101,16-May-25,80,HLW,,
BVR_2023,BVR_50,22-May-23,10:55,B22May23_10m,10,1000,C,1,76,16-May-25,80,HLW,,
BVR_2023,BVR_50,14-Jun-23,11:30,B14Jun23_9m,9,1000,A,1,31,18-May-25,80,HLW,,
BVR_2023,BVR_50,14-Jun-23,11:30,B14Jun23_9m,9,1000,B,2,68,18-May-25,80,HLW,x1 chaoborus,
BVR_2023,BVR_50,14-Jun-23,11:30,B14Jun23_9m,9,1000,C,2,64,18-May-25,80,HLW,,
BVR_2023,BVR_50,24-Jul-23,13:52,B24Jul23_9m,9,1000,A,1,28,19-May-25,80,HLW,says 10m on bottle and 9m on field sheet so going w/ field sheet,
BVR_2023,BVR_50,24-Jul-23,13:52,B24Jul23_9m,9,1000,B,2,49,19-May-25,80,HLW,,
BVR_2023,BVR_50,24-Jul-23,13:52,B24Jul23_9m,9,1000,C,2,87,19-May-25,80,HLW,,
BVR_2023,BVR_50,14-Aug-23,11:25,B14Aug23_10m,10,1000,A,2,17,20-May-25,80,HLW,,
BVR_2023,BVR_50,14-Aug-23,11:25,B14Aug23_10m,10,1000,B,5,47,20-May-25,80,HLW,,
BVR_2023,BVR_50,14-Aug-23,11:25,B14Aug23_10m,10,1000,C,5,51,20-May-25,80,HLW,,
BVR_2023,BVR_50,18-Sep-23,11:20,B18Sep23_9m,9,1000,A,1,18,21-May-25,80,HLW,,
BVR_2023,BVR_50,18-Sep-23,11:20,B18Sep23_9m,9,1000,B,4,159,21-May-25,80,HLW,lots of conochilus colonies bringing this # up,
BVR_2023,BVR_50,18-Sep-23,11:20,B18Sep23_9m,9,1000,C,4,206,21-May-25,80,HLW,x2 chaoborus,
BVR_2023,BVR_50,17-Oct-23,11:45,B17Oct23_9m,9,1000,A,1,18,22-May-25,80,HLW,,
BVR_2023,BVR_50,17-Oct-23,11:45,B17Oct23_9m,9,1000,B,3,84,22-May-25,80,HLW,so many pregnant bosmina!,
BVR_2023,BVR_50,17-Oct-23,11:45,B17Oct23_9m,9,1000,C,3,95,22-May-25,80,HLW,,
BVR_2023,BVR_50,4-Dec-23,11:17,B04Dec23_9m,9,1000,A,2,91,23-May-25,80,HLW,,
BVR_2023,BVR_50,4-Dec-23,11:17,B04Dec23_9m,9,1000,B,2,102,23-May-25,80,HLW,,
BVR_2023,BVR_50,4-Dec-23,11:17,B04Dec23_9m,9,1000,C,2,102,23-May-25,80,HLW,,
BVR_2024,BVR_50,5-Mar-24,10:50,B05Mar24_9m,9,1000,A,1,7,24-May-25,80,HLW,,
BVR_2024,BVR_50,5-Mar-24,10:50,B05Mar24_9m,9,1000,B,4,31,24-May-25,80,HLW,,
BVR_2024,BVR_50,5-Mar-24,10:50,B05Mar24_9m,9,1000,C,4,47,24-May-25,80,HLW,,
BVR_2024,BVR_50,5-Mar-24,10:50,B05Mar24_9m,9,1000,D,4,53,24-May-25,80,HLW,,
BVR_2024,BVR_50,29-Apr-24,11:10,B29Apr24_10m,10,1000,A,2,287,4-Jun-25,80,HLW,,
BVR_2024,BVR_50,29-Apr-24,11:10,B29Apr24_10m,10,1000,B,1,84,4-Jun-25,80,HLW,,
BVR_2024,BVR_50,29-Apr-24,11:10,B29Apr24_10m,10,1000,C,1,109,4-Jun-25,80,HLW,,
BVR_2024,BVR_50,20-May-24,12:19,B20May24_10m,10,1000,A,1,21,5-Jun-25,80,HLW,,
BVR_2024,BVR_50,20-May-24,12:19,B20May24_10m,10,1000,B,2,77,5-Jun-25,80,HLW,so many conochilus in aliquots b-d,
BVR_2024,BVR_50,20-May-24,12:19,B20May24_10m,10,1000,C,2,101,5-Jun-25,80,HLW,,
BVR_2024,BVR_50,20-May-24,12:19,B20May24_10m,10,1000,D,2,137,5-Jun-25,80,HLW,,
BVR_2024,BVR_50,22-Jul-24,9:58,B22Jul24_10m,10,1000,A,1,100,6-Jun-25,80,HLW,x1 chaoborus,
BVR_2024,BVR_50,22-Jul-24,9:58,B22Jul24_10m,10,1000,B,1,66,6-Jun-25,80,HLW,,
BVR_2024,BVR_50,22-Jul-24,9:58,B22Jul24_10m,10,1000,C,1,80,6-Jun-25,80,HLW,,
BVR_2024,BVR_50,19-Aug-24,9:30,B19Aug24_10m,10,1000,A,1,24,7-Jun-25,80,HLW,,
BVR_2024,BVR_50,19-Aug-24,9:30,B19Aug24_10m,10,1000,B,2,44,7-Jun-25,80,HLW,,
BVR_2024,BVR_50,19-Aug-24,9:30,B19Aug24_10m,10,1000,C,2,46,7-Jun-25,80,HLW,,
BVR_2024,BVR_50,23-Sep-24,11:23,B23Sep24_9m,9,1000,A,1,27,8-Jun-25,80,HLW,x2 chaoborus,
BVR_2024,BVR_50,23-Sep-24,11:23,B23Sep24_9m,9,1000,B,2,48,8-Jun-25,80,HLW,,
BVR_2024,BVR_50,23-Sep-24,11:23,B23Sep24_9m,9,1000,C,2,49,8-Jun-25,80,HLW,x1 chaoborus,
BVR_2024,BVR_50,4-Nov-24,11:00,B04Nov24_10m,10,1000,A,1,12,9-Jun-25,80,HLW,,
BVR_2024,BVR_50,4-Nov-24,11:00,B04Nov24_10m,10,1000,B,4,75,9-Jun-25,80,HLW,,
BVR_2024,BVR_50,4-Nov-24,11:00,B04Nov24_10m,10,1000,C,4,72,9-Jun-25,80,HLW,,
BVR_2024,BVR_50,3-Dec-24,12:10,B03Dec24_10m,10,1000,A,2,29,10-Jun-25,80,HLW,,
BVR_2024,BVR_50,3-Dec-24,12:10,B03Dec24_10m,10,1000,B,2,38,10-Jun-25,80,HLW,,
BVR_2024,BVR_50,3-Dec-24,12:10,B03Dec24_10m,10,1000,C,2,53,10-Jun-25,80,HLW,,
BVR_2025,BVR_50,10-Mar-25,10:45,B10Mar25_8m,8,1000,A,2,62,11-Jun-25,80,HLW,,
BVR_2025,BVR_50,10-Mar-25,10:45,B10Mar25_8m,8,1000,B,2,38,11-Jun-25,80,HLW,,
BVR_2025,BVR_50,10-Mar-25,10:45,B10Mar25_8m,8,1000,C,2,62,11-Jun-25,80,HLW,,
BVR_2025,BVR_50,7-Apr-25,12:30,B07Apr25_7m,7,1000,A,1,44,12-Jun-25,80,HLW,,
BVR_2025,BVR_50,7-Apr-25,12:30,B07Apr25_7m,7,1000,B,1,37,12-Jun-25,80,HLW,,
BVR_2025,BVR_50,7-Apr-25,12:30,B07Apr25_7m,7,1000,C,1,36,12-Jun-25,80,HLW,,
BVR_2025,BVR_50,7-Apr-25,12:30,B07Apr25_7m,7,1000,D,1,36,12-Jun-25,80,HLW,,
BVR_2025,BVR_50,12-May-25,11:05,B12May25_6m,6,1000,A,1,21,13-Jun-25,80,HLW,,
BVR_2025,BVR_50,12-May-25,11:05,B12May25_6m,6,1000,B,2,34,13-Jun-25,80,HLW,,
BVR_2025,BVR_50,12-May-25,11:05,B12May25_6m,6,1000,C,2,20,13-Jun-25,80,HLW,x1 ostracod,
BVR_2025,BVR_50,12-May-25,11:05,B12May25_6m,6,1000,D,2,25,13-Jun-25,80,HLW,x4 ostracods,
FCR_2025,FCR_50,7-Apr-25,13:30,F07Apr25_9m,9,1000,A,2,17,13-Jun-25,80,HLW,,
FCR_2025,FCR_50,7-Apr-25,13:30,F07Apr25_9m,9,1000,B,5,34,13-Jun-25,80,HLW,,
FCR_2025,FCR_50,7-Apr-25,13:30,F07Apr25_9m,9,1000,C,5,47,13-Jun-25,80,HLW,,
FCR_2025,FCR_50,7-Apr-25,13:30,F07Apr25_9m,9,1000,D,5,42,13-Jun-25,80,HLW,,
BVR_2025,BVR_50,2-Jun-25,11:00,B2Jun25_7m,7,1000,A,2,90,6-Jul-25,80,HLW,a lot of choborus in the sample,
BVR_2025,BVR_50,2-Jun-25,11:00,B2Jun25_7m,7,1000,B,2,154,6-Jul-25,80,HLW,,
BVR_2025,BVR_50,2-Jun-25,11:00,B2Jun25_7m,7,1000,C,2,156,6-Jul-25,80,HLW,,
BVR_2025,BVR_50,30-Jun-25,9:15,B30Jun25_7m,7,1000,A,2,90,7-Jul-25,80,HLW,x3 chaoborus,
BVR_2025,BVR_50,30-Jun-25,9:15,B30Jun25_7m,7,1000,B,2,42,7-Jul-25,80,HLW,x2 chaoborus,
BVR_2025,BVR_50,30-Jun-25,9:15,B30Jun25_7m,7,1000,C,2,56,7-Jul-25,80,HLW,,
BVR_2025,BVR_50,30-Jun-25,9:15,B30Jun25_7m,7,1000,D,2,99,7-Jul-25,80,HLW,x1 chaoborus,