"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","InitialSampleVolume_mL","Subsample","SubsampleVolume_mL","Zooplankton_No."
"BVR",50,2022-07-11 11:56:00,8.4,0,1,"Tow",1000,"A",1,32
"BVR",50,2022-07-11 11:56:00,8.4,0,1,"Tow",1000,"B",2,83
"BVR",50,2022-07-11 11:56:00,8.4,0,1,"Tow",1000,"C",2,110
"BVR",50,2022-08-18 10:52:00,6.5,0,1,"Tow",1000,"A",1,136
"BVR",50,2022-08-18 10:52:00,6.5,0,1,"Tow",1000,"B",1,97
"BVR",50,2022-08-18 10:52:00,6.5,0,1,"Tow",1000,"C",1,76
"BVR",50,2022-11-16 11:10:00,8,0,1,"Tow",1000,"A",1,93
"BVR",50,2022-11-16 11:10:00,8,0,1,"Tow",1000,"B",1,72
"BVR",50,2022-11-16 11:10:00,8,0,1,"Tow",1000,"C",1,44
"BVR",50,2023-04-24 11:18:00,9,0,1,"Tow",1000,"A",1,170
"BVR",50,2023-04-24 11:18:00,9,0,1,"Tow",1000,"B",1,144
"BVR",50,2023-04-24 11:18:00,9,0,1,"Tow",1000,"C",1,140
"BVR",50,2023-05-22 10:55:00,10,0,1,"Tow",1000,"A",1,76
"BVR",50,2023-05-22 10:55:00,10,0,1,"Tow",1000,"B",1,101
"BVR",50,2023-05-22 10:55:00,10,0,1,"Tow",1000,"C",1,76
"BVR",50,2023-06-14 11:30:00,9,0,1,"Tow",1000,"A",1,31
"BVR",50,2023-06-14 11:30:00,9,0,1,"Tow",1000,"B",2,68
"BVR",50,2023-06-14 11:30:00,9,0,1,"Tow",1000,"C",2,64
"BVR",50,2023-07-24 13:52:00,9,0,1,"Tow",1000,"A",1,28
"BVR",50,2023-07-24 13:52:00,9,0,1,"Tow",1000,"B",2,49
"BVR",50,2023-07-24 13:52:00,9,0,1,"Tow",1000,"C",2,87
"BVR",50,2023-08-14 11:25:00,10,0,1,"Tow",1000,"A",2,17
"BVR",50,2023-08-14 11:25:00,10,0,1,"Tow",1000,"B",5,47
"BVR",50,2023-08-14 11:25:00,10,0,1,"Tow",1000,"C",5,51
"BVR",50,2023-09-18 11:20:00,9,0,1,"Tow",1000,"A",1,18
"BVR",50,2023-09-18 11:20:00,9,0,1,"Tow",1000,"B",4,159
"BVR",50,2023-09-18 11:20:00,9,0,1,"Tow",1000,"C",4,206
"BVR",50,2023-10-17 11:45:00,9,0,1,"Tow",1000,"A",1,18
"BVR",50,2023-10-17 11:45:00,9,0,1,"Tow",1000,"B",3,84
"BVR",50,2023-10-17 11:45:00,9,0,1,"Tow",1000,"C",3,95
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow",1000,"A",2,91
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow",1000,"B",2,102
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow",1000,"C",2,102
"BVR",50,2024-03-05 10:50:00,9,0,1,"Tow",1000,"A",1,7
"BVR",50,2024-03-05 10:50:00,9,0,1,"Tow",1000,"B",4,31
"BVR",50,2024-03-05 10:50:00,9,0,1,"Tow",1000,"C",4,47
"BVR",50,2024-03-05 10:50:00,9,0,1,"Tow",1000,"D",4,53
"BVR",50,2024-04-29 11:10:00,10,0,1,"Tow",1000,"A",2,287
"BVR",50,2024-04-29 11:10:00,10,0,1,"Tow",1000,"B",1,84
"BVR",50,2024-04-29 11:10:00,10,0,1,"Tow",1000,"C",1,109
"BVR",50,2024-05-20 12:19:00,10,0,1,"Tow",1000,"A",1,21
"BVR",50,2024-05-20 12:19:00,10,0,1,"Tow",1000,"B",2,77
"BVR",50,2024-05-20 12:19:00,10,0,1,"Tow",1000,"C",2,101
"BVR",50,2024-05-20 12:19:00,10,0,1,"Tow",1000,"D",2,137
"BVR",50,2024-07-22 09:58:00,10,0,1,"Tow",1000,"A",1,100
"BVR",50,2024-07-22 09:58:00,10,0,1,"Tow",1000,"B",1,66
"BVR",50,2024-07-22 09:58:00,10,0,1,"Tow",1000,"C",1,80
"BVR",50,2024-08-19 09:30:00,10,0,1,"Tow",1000,"A",1,24
"BVR",50,2024-08-19 09:30:00,10,0,1,"Tow",1000,"B",2,44
"BVR",50,2024-08-19 09:30:00,10,0,1,"Tow",1000,"C",2,46
"BVR",50,2024-09-23 11:23:00,9,0,1,"Tow",1000,"A",1,27
"BVR",50,2024-09-23 11:23:00,9,0,1,"Tow",1000,"B",2,48
"BVR",50,2024-09-23 11:23:00,9,0,1,"Tow",1000,"C",2,49
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow",1000,"A",1,12
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow",1000,"B",4,75
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow",1000,"C",4,72
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow",1000,"A",2,29
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow",1000,"B",2,38
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow",1000,"C",2,53
"BVR",50,2025-03-10 10:45:00,8,0,1,"Tow",1000,"A",2,62
"BVR",50,2025-03-10 10:45:00,8,0,1,"Tow",1000,"B",2,38
"BVR",50,2025-03-10 10:45:00,8,0,1,"Tow",1000,"C",2,62
"BVR",50,2025-04-07 12:30:00,7,0,1,"Tow",1000,"A",1,44
"BVR",50,2025-04-07 12:30:00,7,0,1,"Tow",1000,"B",1,37
"BVR",50,2025-04-07 12:30:00,7,0,1,"Tow",1000,"C",1,36
"BVR",50,2025-04-07 12:30:00,7,0,1,"Tow",1000,"D",1,36
"BVR",50,2025-05-12 11:05:00,6,0,1,"Tow",1000,"A",1,21
"BVR",50,2025-05-12 11:05:00,6,0,1,"Tow",1000,"B",2,34
"BVR",50,2025-05-12 11:05:00,6,0,1,"Tow",1000,"C",2,20
"BVR",50,2025-05-12 11:05:00,6,0,1,"Tow",1000,"D",2,25
"FCR",50,2025-04-07 13:30:00,9,0,1,"Tow",1000,"A",2,17
"FCR",50,2025-04-07 13:30:00,9,0,1,"Tow",1000,"B",5,34
"FCR",50,2025-04-07 13:30:00,9,0,1,"Tow",1000,"C",5,47
"FCR",50,2025-04-07 13:30:00,9,0,1,"Tow",1000,"D",5,42
"BVR",50,2025-06-02 11:00:00,7,0,1,"Tow",1000,"A",2,90
"BVR",50,2025-06-02 11:00:00,7,0,1,"Tow",1000,"B",2,154
"BVR",50,2025-06-02 11:00:00,7,0,1,"Tow",1000,"C",2,156
"BVR",50,2025-06-30 09:15:00,7,0,1,"Tow",1000,"A",2,90
"BVR",50,2025-06-30 09:15:00,7,0,1,"Tow",1000,"B",2,42
"BVR",50,2025-06-30 09:15:00,7,0,1,"Tow",1000,"C",2,56
"BVR",50,2025-06-30 09:15:00,7,0,1,"Tow",1000,"D",2,99
